Rank,Company Name,Official / Legal Name,Slug,Ticker Symbol,Stock Exchange,Market Cap,Country,Country Code (ISO-2),Headquarters,Industry,Sub-Industry,Official Website URL,Official Careers Portal URL
327,LegrandLR.PA,LegrandLR.PA Corp,legrand,LEGRAND,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.legrand.com,https://www.legrand.com/careers
328,VeoliaVIE.PA,VeoliaVIE.PA Corp,veolia,VEOLIA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.veolia.com,https://www.veolia.com/careers
329,Dassault SystèmesDSY.PA,Dassault SystèmesDSY.PA Corp,dassault-systemes,DASSAULT,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.dassault-systemes.com,https://www.dassault-systemes.com/careers
330,Dassault AviationAM.PA,Dassault AviationAM.PA Corp,dassault-aviation,DASSAULT,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.dassault-aviation.com,https://www.dassault-aviation.com/careers
331,MichelinML.PA,MichelinML.PA Corp,michelin,MICHELIN,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.michelin.com,https://www.michelin.com/careers
332,BouyguesEN.PA,BouyguesEN.PA Corp,bouygues,BOUYGUES,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.bouygues.com,https://www.bouygues.com/careers
333,AmundiAMUN.PA,AmundiAMUN.PA Corp,amundi,AMUNDI,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.amundi.com,https://www.amundi.com/careers
334,Pernod RicardRI.PA,Pernod RicardRI.PA Corp,pernod-ricard,PERNOD-R,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.pernod-ricard.com,https://www.pernod-ricard.com/careers
335,Unibail-Rodamco-WestfieldURW.PA,Unibail-Rodamco-WestfieldURW.PA Corp,unibail-rodamco-westfield,UNIBAIL-,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.unibail-rodamco-westfield.com,https://www.unibail-rodamco-westfield.com/careers
336,CapgeminiCAP.PA,CapgeminiCAP.PA Corp,capgemini,CAPGEMIN,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.capgemini.com,https://www.capgemini.com/careers
337,IpsenIPN.PA,IpsenIPN.PA Corp,ipsen,IPSEN,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.ipsen.com,https://www.ipsen.com/careers
338,Bureau VeritasBVI.PA,Bureau VeritasBVI.PA Corp,bureau-veritas,BUREAU-V,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.bureau-veritas.com,https://www.bureau-veritas.com/careers
339,EiffageFGR.PA,EiffageFGR.PA Corp,eiffage,EIFFAGE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.eiffage.com,https://www.eiffage.com/careers
340,BolloréBOL.PA,BolloréBOL.PA Corp,bollore,BOLLORE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.bollore.com,https://www.bollore.com/careers
341,KlépierreLI.PA,KlépierreLI.PA Corp,klepierre,KLEPIERR,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.klepierre.com,https://www.klepierre.com/careers
342,CarrefourCA.PA,CarrefourCA.PA Corp,carrefour,CARREFOU,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.carrefour.com,https://www.carrefour.com/careers
343,AccorAC.PA,AccorAC.PA Corp,accor,ACCOR,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.accor.com,https://www.accor.com/careers
344,Aéroports de ParisADP.PA,Aéroports de ParisADP.PA Corp,paris-airports,PARIS-AI,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.paris-airports.com,https://www.paris-airports.com/careers
345,GetlinkGET.PA,GetlinkGET.PA Corp,getlink,GETLINK,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.getlink.com,https://www.getlink.com/careers
346,AbivaxABVX,AbivaxABVX Corp,abivax,ABIVAX,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.abivax.com,https://www.abivax.com/careers
347,AyvensAYV.PA,AyvensAYV.PA Corp,ayvens,AYVENS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.ayvens.com,https://www.ayvens.com/careers
348,SPIESPIE.PA,SPIESPIE.PA Corp,spie,SPIE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.spie.com,https://www.spie.com/careers
349,bioMérieuxBIM.PA,bioMérieuxBIM.PA Corp,biomerieux,BIOMERIE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.biomerieux.com,https://www.biomerieux.com/careers
350,SodexoSW.PA,SodexoSW.PA Corp,sodexo,SODEXO,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.sodexo.com,https://www.sodexo.com/careers
351,RenaultRNO.PA,RenaultRNO.PA Corp,renault,RENAULT,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.renault.com,https://www.renault.com/careers
352,AlstomALO.PA,AlstomALO.PA Corp,alstom,ALSTOM,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.alstom.com,https://www.alstom.com/careers
353,Gaztransport & TechnigazGTT.PA,Gaztransport & TechnigazGTT.PA Corp,gaztransport-technigaz,GAZTRANS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.gaztransport-technigaz.com,https://www.gaztransport-technigaz.com/careers
354,Compagnie du CambodgeCBDG.PA,Compagnie du CambodgeCBDG.PA Corp,compagnie-du-cambodge,COMPAGNI,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.compagnie-du-cambodge.com,https://www.compagnie-du-cambodge.com/careers
355,EdenredEDEN.PA,EdenredEDEN.PA Corp,edenred,EDENRED,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.edenred.com,https://www.edenred.com/careers
356,Technip EnergiesTE.PA,Technip EnergiesTE.PA Corp,technip-energies,TECHNIP-,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.technip-energies.com,https://www.technip-energies.com/careers
357,Compagnie de l'OdetODET.PA,Compagnie de l'OdetODET.PA Corp,compagnie-de-l-odet,COMPAGNI,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.compagnie-de-l-odet.com,https://www.compagnie-de-l-odet.com/careers
358,NexansNEX.PA,NexansNEX.PA Corp,nexans,NEXANS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.nexans.com,https://www.nexans.com/careers
359,VallourecVK.PA,VallourecVK.PA Corp,vallourec,VALLOURE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.vallourec.com,https://www.vallourec.com/careers
360,GecinaGFC.PA,GecinaGFC.PA Corp,gecina,GECINA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.gecina.com,https://www.gecina.com/careers
361,ElisELIS.PA,ElisELIS.PA Corp,elis,ELIS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.elis.com,https://www.elis.com/careers
362,JCDecauxDEC.PA,JCDecauxDEC.PA Corp,jcdecaux,JCDECAUX,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.jcdecaux.com,https://www.jcdecaux.com/careers
363,ArkemaAKE.PA,ArkemaAKE.PA Corp,arkema,ARKEMA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.arkema.com,https://www.arkema.com/careers
364,SoitecSOI.PA,SoitecSOI.PA Corp,soitec,SOITEC,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.soitec.com,https://www.soitec.com/careers
365,L.D.C. S.A.LOUP.PA,L.D.C. S.A.LOUP.PA Corp,ldc-sa,LDC-SA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.ldc-sa.com,https://www.ldc-sa.com/careers
366,ValeoFR.PA,ValeoFR.PA Corp,valeo,VALEO,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.valeo.com,https://www.valeo.com/careers
367,RubisRUI.PA,RubisRUI.PA Corp,rubis,RUBIS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.rubis.com,https://www.rubis.com/careers
368,Société Foncière LyonnaiseFLY.PA,Société Foncière LyonnaiseFLY.PA Corp,sfl,SFL,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.sfl.com,https://www.sfl.com/careers
369,TeleperformanceTEP.PA,TeleperformanceTEP.PA Corp,teleperformance,TELEPERF,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.teleperformance.com,https://www.teleperformance.com/careers
370,WendelMF.PA,WendelMF.PA Corp,wendel,WENDEL,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.wendel.com,https://www.wendel.com/careers
371,Groupe SEBSK.PA,Groupe SEBSK.PA Corp,groupe-seb,GROUPE-S,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.groupe-seb.com,https://www.groupe-seb.com/careers
372,EurazeoRF.PA,EurazeoRF.PA Corp,eurazeo,EURAZEO,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.eurazeo.com,https://www.eurazeo.com/careers
373,Sopra Steria GroupSOP.PA,Sopra Steria GroupSOP.PA Corp,sopra-steria-group,SOPRA-ST,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.sopra-steria-group.com,https://www.sopra-steria-group.com/careers
374,Lisi S.A.FII.PA,Lisi S.A.FII.PA Corp,lisi-sa,LISI-SA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.lisi-sa.com,https://www.lisi-sa.com/careers
375,Virbac SAVIRP.PA,Virbac SAVIRP.PA Corp,virbac,VIRBAC,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.virbac.com,https://www.virbac.com/careers
376,TriganoTRI.PA,TriganoTRI.PA Corp,trigano,TRIGANO,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.trigano.com,https://www.trigano.com/careers
377,Vicat S.A.VCT.PA,Vicat S.A.VCT.PA Corp,vicat-sa,VICAT-SA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.vicat-sa.com,https://www.vicat-sa.com/careers
378,Société Industrielle et Financière de l'ArtoisARTO.PA,Société Industrielle et Financière de l'ArtoisARTO.PA Corp,sif-artois,SIF-ARTO,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.sif-artois.com,https://www.sif-artois.com/careers
379,Unibel S.A.UNBL.PA,Unibel S.A.UNBL.PA Corp,unibel-sa,UNIBEL-S,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.unibel-sa.com,https://www.unibel-sa.com/careers
380,EutelsatETL.PA,EutelsatETL.PA Corp,eutelsat,EUTELSAT,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.eutelsat.com,https://www.eutelsat.com/careers
381,AltareaALTA.PA,AltareaALTA.PA Corp,altarea,ALTAREA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.altarea.com,https://www.altarea.com/careers
382,BICBB.PA,BICBB.PA Corp,bic,BIC,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.bic.com,https://www.bic.com/careers
383,Financière Moncey Société anonymeFMONC.PA,Financière Moncey Société anonymeFMONC.PA Corp,financiere-moncey-societe-anonyme,FINANCIE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.financiere-moncey-societe-anonyme.com,https://www.financiere-moncey-societe-anonyme.com/careers
384,ID Logistics GroupIDL.PA,ID Logistics GroupIDL.PA Corp,id-logistics-group,ID-LOGIS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.id-logistics-group.com,https://www.id-logistics-group.com/careers
385,CarmilaCARM.PA,CarmilaCARM.PA Corp,carmila,CARMILA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.carmila.com,https://www.carmila.com/careers
386,VeralliaVRLA.PA,VeralliaVRLA.PA Corp,verallia,VERALLIA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.verallia.com,https://www.verallia.com/careers
387,OVH GroupeOVH.PA,OVH GroupeOVH.PA Corp,ovh,OVH,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.ovh.com,https://www.ovh.com/careers
388,EMEISEMEIS.PA,EMEISEMEIS.PA Corp,emeis,EMEIS,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.emeis.com,https://www.emeis.com/careers
389,VusionGroupVU.PA,VusionGroupVU.PA Corp,vusiongroup,VUSIONGR,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.vusiongroup.com,https://www.vusiongroup.com/careers
390,Exail TechnologiesEXA.PA,Exail TechnologiesEXA.PA Corp,exail-technologies,EXAIL-TE,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.exail-technologies.com,https://www.exail-technologies.com/careers
391,ALTENATE.PA,ALTENATE.PA Corp,alten,ALTEN,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.alten.com,https://www.alten.com/careers
392,Argan SAARG.PA,Argan SAARG.PA Corp,argan-sa,ARGAN-SA,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.argan-sa.com,https://www.argan-sa.com/careers
393,VivendiVIV.PA,VivendiVIV.PA Corp,vivendi,VIVENDI,Euronext Paris,EUR € Live Tracked,France,FR,France Headquarters,Commercial Enterprise,Operating Business,https://www.vivendi.com,https://www.vivendi.com/careers
394,Royal Bank Of CanadaRY,Royal Bank Of CanadaRY Corp,royal-bank-of-canada,ROYAL-BA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.royal-bank-of-canada.com,https://www.royal-bank-of-canada.com/careers
395,Toronto Dominion BankTD,Toronto Dominion BankTD Corp,toronto-dominion-bank,TORONTO-,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.toronto-dominion-bank.com,https://www.toronto-dominion-bank.com/careers
396,ShopifySHOP,ShopifySHOP Corp,shopify,SHOPIFY,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.shopify.com,https://www.shopify.com/careers
397,EnbridgeENB,EnbridgeENB Corp,enbridge,ENBRIDGE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.enbridge.com,https://www.enbridge.com/careers
398,CIBC (Canadian Imperial Bank of Commerce)CM,CIBC (Canadian Imperial Bank of Commerce)CM Corp,cibc,CIBC,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.cibc.com,https://www.cibc.com/careers
399,ScotiabankBNS,ScotiabankBNS Corp,scotiabank,SCOTIABA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.scotiabank.com,https://www.scotiabank.com/careers
400,Canadian Natural ResourcesCNQ,Canadian Natural ResourcesCNQ Corp,canadian-natural-resources,CANADIAN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.canadian-natural-resources.com,https://www.canadian-natural-resources.com/careers
401,Brookfield CorporationBN,Brookfield CorporationBN Corp,brookfield-corporation,BROOKFIE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.brookfield-corporation.com,https://www.brookfield-corporation.com/careers
402,CPKC (Canadian Pacific Kansas City)CP,CPKC (Canadian Pacific Kansas City)CP Corp,canadian-pacific-railway,CANADIAN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.canadian-pacific-railway.com,https://www.canadian-pacific-railway.com/careers
403,Canadian National RailwayCNI,Canadian National RailwayCNI Corp,canadian-national-railway,CANADIAN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.canadian-national-railway.com,https://www.canadian-national-railway.com/careers
404,Brookfield Asset ManagementBAM,Brookfield Asset ManagementBAM Corp,brookfield-asset-management,BROOKFIE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.brookfield-asset-management.com,https://www.brookfield-asset-management.com/careers
405,Agnico Eagle MinesAEM,Agnico Eagle MinesAEM Corp,agnico-eagle-mines,AGNICO-E,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.agnico-eagle-mines.com,https://www.agnico-eagle-mines.com/careers
406,Manulife FinancialMFC,Manulife FinancialMFC Corp,manulife-financial,MANULIFE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.manulife-financial.com,https://www.manulife-financial.com/careers
407,Barrick GoldB,Barrick GoldB Corp,barrick-gold,BARRICK-,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.barrick-gold.com,https://www.barrick-gold.com/careers
408,Loblaw CompaniesL.TO,Loblaw CompaniesL.TO Corp,loblaw-companies,LOBLAW-C,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.loblaw-companies.com,https://www.loblaw-companies.com/careers
409,Wheaton Precious MetalsWPM,Wheaton Precious MetalsWPM Corp,wheaton-precious-metals,WHEATON-,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.wheaton-precious-metals.com,https://www.wheaton-precious-metals.com/careers
410,Franco-NevadaFNV,Franco-NevadaFNV Corp,franco-nevada,FRANCO-N,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.franco-nevada.com,https://www.franco-nevada.com/careers
411,Power Corporation of CanadaPOW.TO,Power Corporation of CanadaPOW.TO Corp,power-corp-canada,POWER-CO,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.power-corp-canada.com,https://www.power-corp-canada.com/careers
412,CelesticaCLS,CelesticaCLS Corp,celestica,CELESTIC,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.celestica.com,https://www.celestica.com/careers
413,Intact FinancialIFC.TO,Intact FinancialIFC.TO Corp,intact-financial,INTACT-F,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.intact-financial.com,https://www.intact-financial.com/careers
414,DollaramaDOL.TO,DollaramaDOL.TO Corp,dollarama,DOLLARAM,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.dollarama.com,https://www.dollarama.com/careers
415,Restaurant Brands InternationalQSR,Restaurant Brands InternationalQSR Corp,rbi,RBI,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.rbi.com,https://www.rbi.com/careers
416,NutrienNTR,NutrienNTR Corp,nutrien,NUTRIEN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.nutrien.com,https://www.nutrien.com/careers
417,FortisFTS,FortisFTS Corp,fortis,FORTIS,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.fortis.com,https://www.fortis.com/careers
418,George WestonWN.TO,George WestonWN.TO Corp,george-weston,GEORGE-W,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.george-weston.com,https://www.george-weston.com/careers
419,BombardierBBD-B.TO,BombardierBBD-B.TO Corp,bombardier,BOMBARDI,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.bombardier.com,https://www.bombardier.com/careers
420,BCE Inc.BCE,BCE Inc.BCE Corp,bce,BCE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.bce.com,https://www.bce.com/careers
421,Magna InternationalMGA,Magna InternationalMGA Corp,magna-international,MAGNA-IN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.magna-international.com,https://www.magna-international.com/careers
422,Rogers CommunicationsRCI,Rogers CommunicationsRCI Corp,rogers-communication,ROGERS-C,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.rogers-communication.com,https://www.rogers-communication.com/careers
423,EmeraEMA.TO,EmeraEMA.TO Corp,emera,EMERA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.emera.com,https://www.emera.com/careers
424,TelusTU,TelusTU Corp,telus,TELUS,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.telus.com,https://www.telus.com/careers
425,Power FinancialPWF-PS.TO,Power FinancialPWF-PS.TO Corp,power-financial,POWER-FI,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.power-financial.com,https://www.power-financial.com/careers
426,Whitecap ResourcesWCP.TO,Whitecap ResourcesWCP.TO Corp,whitecap-resources,WHITECAP,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.whitecap-resources.com,https://www.whitecap-resources.com/careers
427,TopicusTOI.V,TopicusTOI.V Corp,topicus,TOPICUS,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.topicus.com,https://www.topicus.com/careers
428,IGM FinancialIGM.TO,IGM FinancialIGM.TO Corp,igm-financial,IGM-FINA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.igm-financial.com,https://www.igm-financial.com/careers
429,MetroMRU.TO,MetroMRU.TO Corp,metro,METRO,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.metro.com,https://www.metro.com/careers
430,Lundin GoldLUG.TO,Lundin GoldLUG.TO Corp,lundin-gold,LUNDIN-G,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.lundin-gold.com,https://www.lundin-gold.com/careers
431,CGIGIB,CGIGIB Corp,cgi,CGI,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.cgi.com,https://www.cgi.com/careers
432,Hut 8HUT,Hut 8HUT Corp,hut-8-mining,HUT-8-MI,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.hut-8-mining.com,https://www.hut-8-mining.com/careers
433,ToromontTIH.TO,ToromontTIH.TO Corp,toromont,TOROMONT,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.toromont.com,https://www.toromont.com/careers
434,iA FinancialIAG.TO,iA FinancialIAG.TO Corp,ia-financial,IA-FINAN,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.ia-financial.com,https://www.ia-financial.com/careers
435,KeyeraKEY.TO,KeyeraKEY.TO Corp,keyera,KEYERA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.keyera.com,https://www.keyera.com/careers
436,lululemon athleticaLULU,lululemon athleticaLULU Corp,lululemon-athletica,LULULEMO,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.lululemon-athletica.com,https://www.lululemon-athletica.com/careers
437,TFI InternationalTFII,TFI InternationalTFII Corp,tfi-international,TFI-INTE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.tfi-international.com,https://www.tfi-international.com/careers
438,Alamos GoldAGI,Alamos GoldAGI Corp,alamos-gold,ALAMOS-G,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.alamos-gold.com,https://www.alamos-gold.com/careers
439,SaputoSAP.TO,SaputoSAP.TO Corp,saputo,SAPUTO,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.saputo.com,https://www.saputo.com/careers
440,CCL IndustriesCCL-B.TO,CCL IndustriesCCL-B.TO Corp,ccl-industries,CCL-INDU,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.ccl-industries.com,https://www.ccl-industries.com/careers
441,AritziaATZ.TO,AritziaATZ.TO Corp,aritzia,ARITZIA,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.aritzia.com,https://www.aritzia.com/careers
442,QuebecorQBR-B.TO,QuebecorQBR-B.TO Corp,quebecor,QUEBECOR,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.quebecor.com,https://www.quebecor.com/careers
443,AtkinsRéalisATRL.TO,AtkinsRéalisATRL.TO Corp,atkinsrealis,ATKINSRE,TSX,CAD $ Live Tracked,Canada,CA,Canada Headquarters,Commercial Enterprise,Operating Business,https://www.atkinsrealis.com,https://www.atkinsrealis.com/careers
